data,total de casos,casos por dia,obitos por dia
01/04/2020,2981,642,28
31/03/2020,2339,822,23
30/03/2020,1517,66,15
29/03/2020,1451,45,14
28/03/2020,1406,183,16
27/03/2020,1223,171,10
26/03/2020,1052,190,10
25/03/2020,862,52,8
24/03/2020,810,65,10
23/03/2020,745,114,8
22/03/2020,631,172,7
21/03/2020,459,63,6
20/03/2020,396,110,4
19/03/2020,286,46,1
18/03/2020,240,76,3
17/03/2020,164,12,1
16/03/2020,152,16,
15/03/2020,136,71,
14/03/2020,65,9,
13/03/2020,56,10,
12/03/2020,46,16,
11/03/2020,30,11,
10/03/2020,19,3,
09/03/2020,16,0,
08/03/2020,16,3,
07/03/2020,13,3,
06/03/2020,10,4,
05/03/2020,6,3,
04/03/2020,3,3,
03/03/2020,0,0,
02/03/2020,0,0,
01/03/2020,0,0,
29/02/2020,2,2,
28/02/2020,0,0,
27/02/2020,0,0,
26/02/2020,1,1,
